weight,strategy,stop_loss,bear_alloc,bull_sr,bull_dd,bull_ret,bear_sr,bear_dd,bear_wr,bear_trades,bull_rebal,bear_rebal,passed
Full_FMP,Hybrid_20d,-0.15,0.3,0.452,9.13,6.28,0.204,3.95,20.0,5,2,2,False
Full_FMP,Hybrid_20d,-0.15,0.5,0.386,11.11,5.64,0.217,6.58,20.0,5,2,2,False
Full_FMP,Hybrid_20d,-0.25,0.3,1.038,11.11,21.04,-0.125,5.11,20.0,5,2,2,False
Full_FMP,Hybrid_20d,-0.25,0.5,0.892,14.22,18.69,-0.111,8.52,20.0,5,2,2,False
Full_FMP,Adaptive,-0.1,0.3,0.775,11.5,22.03,0.062,6.64,45.0,40,18,9,True
Full_FMP,Adaptive,-0.1,0.5,0.888,11.5,26.39,0.336,10.89,45.0,40,18,9,True
Full_FMP,Adaptive,-0.15,0.3,0.706,12.07,20.12,-0.43,8.63,51.4,35,18,8,True
Full_FMP,Adaptive,-0.15,0.5,0.818,12.07,24.41,-0.228,12.37,51.4,35,18,8,True
Full_FMP,Adaptive,-0.25,0.3,0.673,13.04,19.2,-0.073,7.46,54.3,35,18,8,True
Full_FMP,Adaptive,-0.25,0.5,0.785,13.04,23.47,0.133,12.22,54.3,35,18,8,True
Insider_Heavy,Fixed_30d,-0.1,0.3,1.422,9.33,43.43,0.007,6.31,52.5,40,17,9,True
Insider_Heavy,Fixed_30d,-0.1,0.5,1.506,9.33,47.4,0.108,10.27,52.5,40,17,9,True
Insider_Heavy,Fixed_30d,-0.15,0.3,1.282,11.25,39.27,-0.076,8.09,55.0,40,17,9,True
Insider_Heavy,Fixed_30d,-0.15,0.5,1.366,11.25,43.12,0.011,13.29,55.0,40,17,9,True
Insider_Heavy,Fixed_30d,-0.25,0.3,1.256,12.18,38.89,0.05,7.12,55.0,40,17,9,True
Insider_Heavy,Fixed_30d,-0.25,0.5,1.34,12.18,42.73,0.142,11.74,55.0,40,17,9,True
Insider_Heavy,Fixed_60d,-0.1,0.3,1.581,9.65,47.4,0.23,13.45,30.0,20,9,5,False
Insider_Heavy,Fixed_60d,-0.1,0.5,1.605,9.65,49.33,0.34,15.53,30.0,20,9,5,False
Insider_Heavy,Fixed_60d,-0.15,0.3,1.446,10.23,45.74,-0.943,10.24,40.0,20,9,5,False
Insider_Heavy,Fixed_60d,-0.15,0.5,1.466,10.23,47.55,-0.893,16.64,40.0,20,9,5,False
Insider_Heavy,Fixed_60d,-0.25,0.3,1.446,10.31,46.35,-1.027,11.71,40.0,20,9,5,False
Insider_Heavy,Fixed_60d,-0.25,0.5,1.467,10.31,48.17,-0.975,18.96,40.0,20,9,5,False
Insider_Heavy,Signal_5d,-0.1,0.3,2.003,7.92,46.34,0.171,3.95,11.1,9,3,2,False
Insider_Heavy,Signal_5d,-0.1,0.5,1.965,7.92,47.05,0.18,6.34,11.1,9,3,2,False
Insider_Heavy,Signal_5d,-0.15,0.3,1.927,7.92,46.72,-0.482,4.1,12.5,8,3,2,False
Insider_Heavy,Signal_5d,-0.15,0.5,1.877,9.29,47.14,-0.474,6.81,12.5,8,3,2,False
Insider_Heavy,Signal_5d,-0.25,0.3,1.874,7.92,45.24,-0.805,6.12,12.5,8,3,2,False
Insider_Heavy,Signal_5d,-0.25,0.5,1.813,10.11,45.29,-0.797,10.11,12.5,8,3,2,False
Insider_Heavy,Signal_10d,-0.1,0.3,0.874,10.53,13.52,0.145,3.94,11.1,9,5,2,False
Insider_Heavy,Signal_10d,-0.1,0.5,0.876,10.53,14.3,0.154,6.33,11.1,9,5,2,False
Insider_Heavy,Signal_10d,-0.15,0.3,0.944,9.8,16.74,-0.849,5.96,0.0,8,4,2,False
Insider_Heavy,Signal_10d,-0.15,0.5,0.94,9.8,17.5,-0.833,9.83,0.0,8,4,2,False
Insider_Heavy,Signal_10d,-0.25,0.3,1.083,9.68,18.6,-0.906,7.94,0.0,7,3,2,False
Insider_Heavy,Signal_10d,-0.25,0.5,1.07,9.68,19.37,-0.89,13.05,0.0,7,3,2,False
Insider_Heavy,Hybrid_20d,-0.1,0.3,2.627,5.12,50.66,0.235,3.25,11.1,9,3,2,False
Insider_Heavy,Hybrid_20d,-0.1,0.5,2.549,6.6,51.97,0.243,5.41,11.1,9,3,2,False
Insider_Heavy,Hybrid_20d,-0.15,0.3,2.482,6.58,51.35,-0.825,5.9,12.5,8,3,2,False
Insider_Heavy,Hybrid_20d,-0.15,0.5,2.407,8.09,52.58,-0.808,9.73,12.5,8,3,2,False
Insider_Heavy,Hybrid_20d,-0.25,0.3,2.44,6.84,50.4,-0.874,7.59,25.0,8,3,2,False
Insider_Heavy,Hybrid_20d,-0.25,0.5,2.367,8.34,51.62,-0.857,12.48,25.0,8,3,2,False
Insider_Heavy,Adaptive,-0.1,0.3,0.949,14.79,27.37,0.349,6.87,45.7,35,18,8,True
